Id,MSZoning,HouseStyle,SaleCondition,OverallQual,OverallCond,GrLivArea,BedroomAbvGr,FullBath,HalfBath,YearBuilt,YearRemodAdd,TotalBsmtSF,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,CentralAir,YrSold,SalePrice
1,RL,2Story,Normal,7,5,1710,3,2,1,2003,2003,856,2,548,61,0,0,0,0,Y,2008,208500
2,RL,1Story,Normal,6,8,1262,3,2,0,1976,1976,1262,2,460,0,0,0,0,0,Y,2007,181500
3,RM,1Story,Normal,7,5,1786,3,2,1,2001,2002,920,2,608,42,0,0,0,0,Y,2008,223500
4,RL,2Story,Normal,7,5,1717,3,2,1,1915,1970,756,3,642,35,0,0,0,0,Y,2006,140000
5,RM,2Story,Normal,8,5,2198,4,2,1,2000,2000,1145,3,836,84,0,0,0,0,Y,2009,250000
6,RL,1Story,Normal,5,6,1400,3,1,0,1982,2002,800,2,450,20,0,0,0,0,Y,2008,160000
7,RL,2Story,Normal,8,7,2500,4,3,1,2010,2010,1200,3,900,85,0,0,50,0,Y,2011,320000
8,RM,2Story,Normal,6,6,1500,3,2,1,1998,1999,850,2,500,60,0,0,0,0,Y,2007,172000
9,RL,1Story,Normal,7,5,1650,3,2,0,1995,1998,900,2,500,30,0,0,0,0,Y,2006,190000
10,RM,2Story,Normal,9,8,2800,5,3,1,2015,2015,1500,3,980,95,0,0,60,0,Y,2018,450000
11,RL,2Story,Normal,7,6,2300,4,2,1,2007,2007,1100,3,900,70,0,0,0,120,Y,2018,330000
12,RM,1Story,Normal,5,5,1300,3,2,0,1988,1988,880,2,480,25,0,0,0,0,Y,2009,150000
13,RL,2Story,Normal,8,8,2400,4,3,2,2012,2012,1250,3,950,90,0,0,20,0,Y,2019,410000
14,RL,1Story,Normal,6,6,1450,3,2,0,1992,1992,780,2,460,50,0,0,0,0,Y,2010,171000
15,RM,2Story,Normal,8,7,2100,4,2,1,2004,2004,1000,2,780,60,0,0,0,0,Y,2011,285000
16,RL,2Story,Normal,9,9,3050,5,4,1,2017,2017,1750,3,1020,120,0,0,78,100,Y,2020,520000
17,RM,2Story,Normal,6,5,1600,3,2,1,1996,1996,900,2,520,45,0,0,0,0,Y,2006,198000
18,RL,1Story,Normal,7,6,1550,3,2,0,1994,2000,850,2,500,35,0,0,0,0,Y,2007,178000
19,RL,2Story,Normal,8,7,2450,4,3,1,2009,2009,1300,3,950,100,0,0,20,0,Y,2012,390000
20,RM,2Story,Normal,5,5,1320,3,2,0,1991,1991,820,2,480,20,0,0,0,0,Y,2013,165000
